Entity,Code,Year,annual_emissions_ghg_total_co2eq
Vietnam,VNM,1850,31967718
Vietnam,VNM,1851,32660348
Vietnam,VNM,1852,32714120
Vietnam,VNM,1853,33083804
Vietnam,VNM,1854,33053400
Vietnam,VNM,1855,33273510
Vietnam,VNM,1856,33760764
Vietnam,VNM,1857,33663188
Vietnam,VNM,1858,33199892
Vietnam,VNM,1859,34066940
Vietnam,VNM,1860,34030868
Vietnam,VNM,1861,33801796
Vietnam,VNM,1862,34822076
Vietnam,VNM,1863,34613656
Vietnam,VNM,1864,34743132
Vietnam,VNM,1865,35227870
Vietnam,VNM,1866,35404880
Vietnam,VNM,1867,34649548
Vietnam,VNM,1868,35752510
Vietnam,VNM,1869,35155396
Vietnam,VNM,1870,41100160
Vietnam,VNM,1871,46176044
Vietnam,VNM,1872,50795828
Vietnam,VNM,1873,50477216
Vietnam,VNM,1874,52741190
Vietnam,VNM,1875,54753040
Vietnam,VNM,1876,53858744
Vietnam,VNM,1877,55342730
Vietnam,VNM,1878,56674950
Vietnam,VNM,1879,55883736
Vietnam,VNM,1880,61358050
Vietnam,VNM,1881,64778980
Vietnam,VNM,1882,65444470
Vietnam,VNM,1883,65326028
Vietnam,VNM,1884,68146880
Vietnam,VNM,1885,68993976
Vietnam,VNM,1886,69762790
Vietnam,VNM,1887,70089944
Vietnam,VNM,1888,69126210
Vietnam,VNM,1889,70626390
Vietnam,VNM,1890,73595496
Vietnam,VNM,1891,75428400
Vietnam,VNM,1892,75252700
Vietnam,VNM,1893,76792460
Vietnam,VNM,1894,74694350
Vietnam,VNM,1895,80096920
Vietnam,VNM,1896,77876880
Vietnam,VNM,1897,79424180
Vietnam,VNM,1898,79488590
Vietnam,VNM,1899,78897944
Vietnam,VNM,1900,81321784
Vietnam,VNM,1901,80259100
Vietnam,VNM,1902,81435970
Vietnam,VNM,1903,81553440
Vietnam,VNM,1904,84565650
Vietnam,VNM,1905,83557656
Vietnam,VNM,1906,82012424
Vietnam,VNM,1907,83260456
Vietnam,VNM,1908,85145144
Vietnam,VNM,1909,83982830
Vietnam,VNM,1910,82455810
Vietnam,VNM,1911,80027700
Vietnam,VNM,1912,75607416
Vietnam,VNM,1913,76238650
Vietnam,VNM,1914,74392210
Vietnam,VNM,1915,76801810
Vietnam,VNM,1916,76385460
Vietnam,VNM,1917,75812310
Vietnam,VNM,1918,74756740
Vietnam,VNM,1919,72760450
Vietnam,VNM,1920,61813330
Vietnam,VNM,1921,55108950
Vietnam,VNM,1922,50805860
Vietnam,VNM,1923,48744096
Vietnam,VNM,1924,47132330
Vietnam,VNM,1925,45888300
Vietnam,VNM,1926,44414412
Vietnam,VNM,1927,43648436
Vietnam,VNM,1928,43600660
Vietnam,VNM,1929,42860572
Vietnam,VNM,1930,41320720
Vietnam,VNM,1931,39193416
Vietnam,VNM,1932,39006036
Vietnam,VNM,1933,37522704
Vietnam,VNM,1934,37827016
Vietnam,VNM,1935,36822930
Vietnam,VNM,1936,38293140
Vietnam,VNM,1937,38605644
Vietnam,VNM,1938,38751892
Vietnam,VNM,1939,40133212
Vietnam,VNM,1940,39030576
Vietnam,VNM,1941,38750900
Vietnam,VNM,1942,35114180
Vietnam,VNM,1943,34282364
Vietnam,VNM,1944,33679056
Vietnam,VNM,1945,33186724
Vietnam,VNM,1946,32579494
Vietnam,VNM,1947,33240138
Vietnam,VNM,1948,33989788
Vietnam,VNM,1949,32142030
Vietnam,VNM,1950,51576136
Vietnam,VNM,1951,63982596
Vietnam,VNM,1952,74079710
Vietnam,VNM,1953,84046330
Vietnam,VNM,1954,96478370
Vietnam,VNM,1955,107710680
Vietnam,VNM,1956,116505600
Vietnam,VNM,1957,124844610
Vietnam,VNM,1958,135264160
Vietnam,VNM,1959,155058880
Vietnam,VNM,1960,125573576
Vietnam,VNM,1961,113422010
Vietnam,VNM,1962,108797970
Vietnam,VNM,1963,105473784
Vietnam,VNM,1964,108945700
Vietnam,VNM,1965,106540640
Vietnam,VNM,1966,114166310
Vietnam,VNM,1967,116839224
Vietnam,VNM,1968,116622190
Vietnam,VNM,1969,122576340
Vietnam,VNM,1970,121120040
Vietnam,VNM,1971,118752670
Vietnam,VNM,1972,120925890
Vietnam,VNM,1973,124182580
Vietnam,VNM,1974,116665656
Vietnam,VNM,1975,147529940
Vietnam,VNM,1976,136068100
Vietnam,VNM,1977,129023650
Vietnam,VNM,1978,123608100
Vietnam,VNM,1979,117348100
Vietnam,VNM,1980,117808450
Vietnam,VNM,1981,117913270
Vietnam,VNM,1982,119519020
Vietnam,VNM,1983,119122640
Vietnam,VNM,1984,112508290
Vietnam,VNM,1985,116349600
Vietnam,VNM,1986,119429710
Vietnam,VNM,1987,121243340
Vietnam,VNM,1988,124000580
Vietnam,VNM,1989,118083880
Vietnam,VNM,1990,126514880
Vietnam,VNM,1991,168349230
Vietnam,VNM,1992,156534930
Vietnam,VNM,1993,153719040
Vietnam,VNM,1994,156140930
Vietnam,VNM,1995,234916670
Vietnam,VNM,1996,227278740
Vietnam,VNM,1997,236788690
Vietnam,VNM,1998,270424450
Vietnam,VNM,1999,296094660
Vietnam,VNM,2000,359742200
Vietnam,VNM,2001,289002600
Vietnam,VNM,2002,276385280
Vietnam,VNM,2003,299167400
Vietnam,VNM,2004,324488700
Vietnam,VNM,2005,301726370
Vietnam,VNM,2006,289589440
Vietnam,VNM,2007,312522270
Vietnam,VNM,2008,318657100
Vietnam,VNM,2009,388597280
Vietnam,VNM,2010,360474430
Vietnam,VNM,2011,363318200
Vietnam,VNM,2012,353585060
Vietnam,VNM,2013,370436500
Vietnam,VNM,2014,580110500
Vietnam,VNM,2015,520550270
Vietnam,VNM,2016,483003260
Vietnam,VNM,2017,465237400
Vietnam,VNM,2018,516911970
Vietnam,VNM,2019,569639800
Vietnam,VNM,2020,579986600
Vietnam,VNM,2021,528790460
Vietnam,VNM,2022,539140600
Vietnam,VNM,2023,564164160
Vietnam,VNM,2024,583496800
